"","sd","algorithms","lang","n_parallel","u_duration","epenthesis_rate"
"1",10,"viterbi","jpn",1,0,0
"2",10,"viterbi","jpn",1,1,1
"3",10,"viterbi","jpn",1,2,1
"4",10,"viterbi","jpn",1,3,1
"5",10,"viterbi","jpn",2,0,1
"6",10,"viterbi","jpn",2,1,1
"7",10,"viterbi","jpn",2,2,1
"8",10,"viterbi","jpn",2,3,1
"9",10,"viterbi","jpn",3,0,1
"10",10,"viterbi","jpn",3,1,1
"11",10,"viterbi","jpn",3,2,1
"12",10,"viterbi","jpn",3,3,1
"13",10,"viterbi","jpn",4,0,1
"14",10,"viterbi","jpn",4,1,1
"15",10,"viterbi","jpn",4,2,1
"16",10,"viterbi","jpn",4,3,1
"17",10,"viterbi","jpn",5,0,1
"18",10,"viterbi","jpn",5,1,1
"19",10,"viterbi","jpn",5,2,1
"20",10,"viterbi","jpn",5,3,1
"21",10,"viterbi","fr",1,0,0
"22",10,"viterbi","fr",1,1,1
"23",10,"viterbi","fr",1,2,1
"24",10,"viterbi","fr",1,3,1
"25",10,"viterbi","fr",2,0,0
"26",10,"viterbi","fr",2,1,1
"27",10,"viterbi","fr",2,2,1
"28",10,"viterbi","fr",2,3,1
"29",10,"viterbi","fr",3,0,0
"30",10,"viterbi","fr",3,1,1
"31",10,"viterbi","fr",3,2,1
"32",10,"viterbi","fr",3,3,1
"33",10,"viterbi","fr",4,0,0
"34",10,"viterbi","fr",4,1,1
"35",10,"viterbi","fr",4,2,1
"36",10,"viterbi","fr",4,3,1
"37",10,"viterbi","fr",5,0,0
"38",10,"viterbi","fr",5,1,1
"39",10,"viterbi","fr",5,2,1
"40",10,"viterbi","fr",5,3,1
"41",10,"naive_bayes","jpn",1,0,0
"42",10,"naive_bayes","jpn",1,1,1
"43",10,"naive_bayes","jpn",1,2,1
"44",10,"naive_bayes","jpn",1,3,1
"45",10,"naive_bayes","jpn",2,0,0
"46",10,"naive_bayes","jpn",2,1,1
"47",10,"naive_bayes","jpn",2,2,1
"48",10,"naive_bayes","jpn",2,3,1
"49",10,"naive_bayes","jpn",3,0,0
"50",10,"naive_bayes","jpn",3,1,1
